Id,Label,indegree,outdegree,Degree,pageranks,modularity_class
en.wikipedia.org/wiki/IIT_Kanpur,,174,760,934,1.1e-05,31
en.wikipedia.org/wiki/Special:Random,,547,0,547,2e-05,31
en.wikipedia.org/wiki/Wikipedia:Contact_us,,547,150,697,2e-05,31
en.wikipedia.org/wiki/Help:Introduction,,547,197,744,2e-05,31
en.wikipedia.org/wiki/Special:RecentChanges,,547,0,547,2e-05,31
en.wikipedia.org/wiki/Wikipedia:File_upload_wizard,,547,147,694,2e-05,31
en.wikipedia.org/wiki/Special:SpecialPages,,547,0,547,2e-05,31
en.wikipedia.org/wiki/Special:Search,,547,0,547,2e-05,31
donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=en.wikipedia.org&uselang=en,,545,0,545,2e-05,31
en.wikipedia.org/w/index.php?title=Special:CreateAccount&returnto=IIT+Kanpur,,5,0,5,6e-06,31
en.wikipedia.org/w/index.php?title=Special:UserLogin&returnto=IIT+Kanpur,,5,0,5,6e-06,31
en.wikipedia.org/wiki/Special:MyContributions,,547,0,547,2e-05,31
en.wikipedia.org/wiki/Special:MyTalk,,547,0,547,2e-05,31
wikidata.org/wiki/Special:EntityPage/Q782682,,24,0,24,8e-06,31
en.wikipedia.org/w/index.php?title=IIT_Kanpur&action=edit,,5,0,5,6e-06,31
en.wikipedia.org/w/index.php?title=IIT_Kanpur&action=history,,5,0,5,6e-06,31
en.wikipedia.org/wiki/Special:WhatLinksHere/IIT_Kanpur,,5,0,5,6e-06,31
en.wikipedia.org/wiki/Special:RecentChangesLinked/IIT_Kanpur,,5,0,5,6e-06,31
en.wikipedia.org/w/index.php?title=IIT_Kanpur&oldid=1307848471,,5,0,5,6e-06,31
en.wikipedia.org/w/index.php?title=IIT_Kanpur&action=info,,5,0,5,6e-06,31
en.wikipedia.org/w/index.php?title=Special:DownloadAsPdf&page=IIT_Kanpur&action=show-download-screen,,5,0,5,6e-06,31
en.wikipedia.org/w/index.php?title=IIT_Kanpur&printable=yes,,5,0,5,6e-06,31
geohack.toolforge.org/geohack.php?pagename=IIT_Kanpur&params=26.511383_N_80.23493_E_,,5,0,5,6e-06,31
"en.wikipedia.org/wiki/Kalyanpur,_Uttar_Pradesh",,14,507,521,7e-06,31
"en.wikipedia.org/wiki/Kanpur,_Uttar_Pradesh",,6,1058,1064,6e-06,31
en.wikipedia.org/wiki/File:IIT_Kanpur.jpg,,10,73,83,7e-06,31
en.wikipedia.org/w/index.php?title=IIT_Kanpur&action=edit&section=1,,5,0,5,6e-06,31
en.wikipedia.org/wiki/Harcourt_Butler_Technological_Institute,,7,1079,1086,7e-06,31
en.wikipedia.org/wiki/H.K._Kesavan,,6,133,139,6e-06,31
en.wikipedia.org/w/index.php?title=IIT_Kanpur&action=edit&section=2,,5,0,5,6e-06,31
en.wikipedia.org/wiki/File:IIT_Kanpur_3.jpg,,6,80,86,6e-06,31
en.wikipedia.org/wiki/Uttar_Pradesh,,190,1793,1983,1.1e-05,31
en.wikipedia.org/wiki/File:IITKLibrary.jpg,,7,119,126,7e-06,31
en.wikipedia.org/w/index.php?title=IIT_Kanpur&action=edit&section=3,,5,0,5,6e-06,31
en.wikipedia.org/wiki/Noida,,34,738,772,7e-06,31
en.wikipedia.org/w/index.php?title=IIT_Kanpur&action=edit&section=4,,5,0,5,6e-06,31
en.wikipedia.org/wiki/Chakeri,,75,358,433,8e-06,31
en.wikipedia.org/wiki/Kanpur_Metro,,95,509,604,8e-06,31
en.wikipedia.org/wiki/IIT_Kanpur_metro_station,,7,142,149,7e-06,31
en.wikipedia.org/wiki/Kanpur_Central_railway_station,,98,704,802,8e-06,31
en.wikipedia.org/w/index.php?title=IIT_Kanpur&action=edit&section=5,,5,0,5,6e-06,31
